SEGMENT NAME: E1EDK01| LEVEL: 1| STATUS: MANDATORY| LOOPMAX: 1| TYPE OF SEG: S| SeqSegment: 10
Field: ACTION| LENGTH 3| FIELD SEQ:110
Field: KZABS| LENGTH 1| FIELD SEQ:120
Field: CURCY| LENGTH 3| FIELD SEQ:130
Field: HWAER| LENGTH 3| FIELD SEQ:140
Field: WKURS| LENGTH 12| FIELD SEQ:150
Field: ZTERM| LENGTH 17| FIELD SEQ:160
Field: KUNDEUI1| LENGTH 20| FIELD SEQ:170
Field: EIGENUI1| LENGTH 20| FIELD SEQ:180
Field: BSART| LENGTH 4| FIELD SEQ:190
Field: BELNR| LENGTH 35| FIELD SEQ:200
Field: NTGEW| LENGTH 18| FIELD SEQ:210
Field: BRGEW| LENGTH 18| FIELD SEQ:220
Field: GEWEI| LENGTH 3| FIELD SEQ:230
Field: FKART_RL| LENGTH 4| FIELD SEQ:240
Field: ABLAD| LENGTH 25| FIELD SEQ:250
Field: BSTZD| LENGTH 4| FIELD SEQ:260
Field: VSART| LENGTH 2| FIELD SEQ:270
Field: VSART_B1| LENGTH 20| FIELD SEQ:280
Field: RECIPNT1| LENGTH 10| FIELD SEQ:290
Field: KZAZU| LENGTH 1| FIELD SEQ:300
Field: AUTLF| LENGTH 1| FIELD SEQ:310
Field: AUGRU| LENGTH 3| FIELD SEQ:320
Field: AUGRU_B1| LENGTH 40| FIELD SEQ:330
Field: ABRVW| LENGTH 3| FIELD SEQ:340
Field: ABRVW_B1| LENGTH 20| FIELD SEQ:350
Field: FKTYP| LENGTH 1| FIELD SEQ:360
Field: LIFSK| LENGTH 2| FIELD SEQ:370
Field: LIFSK_B1| LENGTH 20| FIELD SEQ:380
Field: EMPST| LENGTH 25| FIELD SEQ:390
Field: ABTNR| LENGTH 4| FIELD SEQ:400
Field: DELCO| LENGTH 3| FIELD SEQ:410
Field: WKURS_M| LENGTH 12| FIELD SEQ:420
SEGMENT NAME: E1EDKA1| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 99| TYPE OF SEG: S| SeqSegment: 20
Field: PARVW| LENGTH 3| FIELD SEQ:110
Field: PARTN| LENGTH 17| FIELD SEQ:120
Field: LIFNR| LENGTH 17| FIELD SEQ:130
Field: NAME1| LENGTH 35| FIELD SEQ:140
Field: NAME2| LENGTH 35| FIELD SEQ:150
Field: NAME3| LENGTH 35| FIELD SEQ:160
Field: NAME4| LENGTH 35| FIELD SEQ:170
Field: STRAS| LENGTH 35| FIELD SEQ:180
Field: STRS2| LENGTH 35| FIELD SEQ:190
Field: PFACH| LENGTH 35| FIELD SEQ:200
Field: ORT01| LENGTH 35| FIELD SEQ:210
Field: COUNC| LENGTH 9| FIELD SEQ:220
Field: PSTLZ| LENGTH 9| FIELD SEQ:230
Field: PSTL2| LENGTH 9| FIELD SEQ:240
Field: LAND1| LENGTH 3| FIELD SEQ:250
Field: ABLAD| LENGTH 35| FIELD SEQ:260
Field: PERNR| LENGTH 30| FIELD SEQ:270
Field: PARNR| LENGTH 30| FIELD SEQ:280
Field: TELF1| LENGTH 25| FIELD SEQ:290
Field: TELF2| LENGTH 25| FIELD SEQ:300
Field: TELBX| LENGTH 25| FIELD SEQ:310
Field: TELFX| LENGTH 25| FIELD SEQ:320
Field: TELTX| LENGTH 25| FIELD SEQ:330
Field: TELX1| LENGTH 25| FIELD SEQ:340
Field: SPRAS| LENGTH 1| FIELD SEQ:350
Field: ANRED| LENGTH 15| FIELD SEQ:360
Field: ORT02| LENGTH 35| FIELD SEQ:370
Field: HAUSN| LENGTH 6| FIELD SEQ:380
Field: STOCK| LENGTH 6| FIELD SEQ:390
Field: REGIO| LENGTH 3| FIELD SEQ:400
Field: PARGE| LENGTH 1| FIELD SEQ:410
Field: ISOAL| LENGTH 2| FIELD SEQ:420
Field: ISONU| LENGTH 2| FIELD SEQ:430
Field: FCODE| LENGTH 20| FIELD SEQ:440
Field: IHREZ| LENGTH 30| FIELD SEQ:450
Field: BNAME| LENGTH 35| FIELD SEQ:460
Field: PAORG| LENGTH 30| FIELD SEQ:470
Field: ORGTX| LENGTH 35| FIELD SEQ:480
Field: PAGRU| LENGTH 30| FIELD SEQ:490
Field: KNREF| LENGTH 30| FIELD SEQ:500
Field: ILNNR| LENGTH 70| FIELD SEQ:510
Field: PFORT| LENGTH 35| FIELD SEQ:520
Field: SPRAS_I1| LENGTH 2| FIELD SEQ:530
Field: TITLE| LENGTH 15| FIELD SEQ:540
SEGMENT NAME: E1EDK02| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 20| TYPE OF SEG: S| SeqSegment: 30
Field: QUALF| LENGTH 3| FIELD SEQ:110
Field: BELNR| LENGTH 35| FIELD SEQ:120
Field: POSNR| LENGTH 6| FIELD SEQ:130
Field: DATUM| LENGTH 8| FIELD SEQ:140
Field: UZEIT| LENGTH 6| FIELD SEQ:150
SEGMENT NAME: E1EDK03| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 20| TYPE OF SEG: S| SeqSegment: 40
Field: IDDAT| LENGTH 3| FIELD SEQ:110
Field: DATUM| LENGTH 8| FIELD SEQ:120
Field: UZEIT| LENGTH 6| FIELD SEQ:130
SEGMENT NAME: E1EDK05| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 99| TYPE OF SEG: S| SeqSegment: 50
Field: ALCKZ| LENGTH 3| FIELD SEQ:110
Field: KSCHL| LENGTH 4| FIELD SEQ:120
Field: KOTXT| LENGTH 80| FIELD SEQ:130
Field: BETRG| LENGTH 18| FIELD SEQ:140
Field: KPERC| LENGTH 8| FIELD SEQ:150
Field: KRATE| LENGTH 15| FIELD SEQ:160
Field: UPRBS| LENGTH 9| FIELD SEQ:170
Field: MEAUN| LENGTH 3| FIELD SEQ:180
Field: KOBTR| LENGTH 18| FIELD SEQ:190
Field: MWSKZ| LENGTH 7| FIELD SEQ:200
Field: MSATZ| LENGTH 17| FIELD SEQ:210
Field: KOEIN| LENGTH 3| FIELD SEQ:220
SEGMENT NAME: E1EDK04| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 25| TYPE OF SEG: S| SeqSegment: 60
Field: MWSKZ| LENGTH 7| FIELD SEQ:110
Field: MSATZ| LENGTH 17| FIELD SEQ:120
Field: MWSBT| LENGTH 18| FIELD SEQ:130
Field: TXJCD| LENGTH 15| FIELD SEQ:140
Field: KTEXT| LENGTH 50| FIELD SEQ:150
SEGMENT NAME: E1EDK17| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 10| TYPE OF SEG: S| SeqSegment: 70
Field: QUALF| LENGTH 3| FIELD SEQ:110
Field: LKOND| LENGTH 3| FIELD SEQ:120
Field: LKTEXT| LENGTH 70| FIELD SEQ:130
