SEGMENT NAME: E1EDK01| LEVEL: 1| STATUS: MANDATORY| LOOPMAX: 1| TYPE OF SEG: S| SeqSegment: 10
SEGMENT NAME: E1EDKA1| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 99| TYPE OF SEG: S| SeqSegment: 20
SEGMENT NAME: E1EDK02| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 20| TYPE OF SEG: S| SeqSegment: 30
SEGMENT NAME: E1EDK03| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 20| TYPE OF SEG: S| SeqSegment: 40
SEGMENT NAME: E1EDK05| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 99| TYPE OF SEG: S| SeqSegment: 50
SEGMENT NAME: E1EDK04| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 25| TYPE OF SEG: S| SeqSegment: 60
SEGMENT NAME: E1EDK17| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 10| TYPE OF SEG: S| SeqSegment: 70
SEGMENT NAME: E1EDK18| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 10| TYPE OF SEG: S| SeqSegment: 80
SEGMENT NAME: E1EDK23| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 4| TYPE OF SEG: S| SeqSegment: 90
SEGMENT NAME: E1EDK28| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 20| TYPE OF SEG: S| SeqSegment: 100
SEGMENT NAME: E1EDK29| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 20| TYPE OF SEG: S| SeqSegment: 110
SEGMENT NAME: E1EDKT1| LEVEL: 1| STATUS: MANDATORY| LOOPMAX: 1| TYPE OF SEG: L| SeqSegment: 120
SEGMENT NAME: E1EDKT1| LEVEL: 2| STATUS: MANDATORY| LOOPMAX: 1| TYPE OF SEG: S| SeqSegment: 120
SEGMENT NAME: E1EDKT2| LEVEL: 2| STATUS: OPTIONAL| LOOPMAX: 999| TYPE OF SEG: S| SeqSegment: 130
SEGMENT NAME: E1EDK14| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 10| TYPE OF SEG: S| SeqSegment: 140
SEGMENT NAME: E1EDP01| LEVEL: 1| STATUS: MANDATORY| LOOPMAX: 1| TYPE OF SEG: L| SeqSegment: 150
SEGMENT NAME: E1EDP01| LEVEL: 2| STATUS: MANDATORY| LOOPMAX: 1| TYPE OF SEG: S| SeqSegment: 150
SEGMENT NAME: E1EDP02| LEVEL: 2| STATUS: OPTIONAL| LOOPMAX: 25| TYPE OF SEG: S| SeqSegment: 160
SEGMENT NAME: E1EDP03| LEVEL: 2| STATUS: OPTIONAL| LOOPMAX: 25| TYPE OF SEG: S| SeqSegment: 170
SEGMENT NAME: E1EDP19| LEVEL: 2| STATUS: OPTIONAL| LOOPMAX: 10| TYPE OF SEG: S| SeqSegment: 180
SEGMENT NAME: E1EDP26| LEVEL: 2| STATUS: OPTIONAL| LOOPMAX: 20| TYPE OF SEG: S| SeqSegment: 190
SEGMENT NAME: E1EDPA1| LEVEL: 2| STATUS: OPTIONAL| LOOPMAX: 20| TYPE OF SEG: S| SeqSegment: 200
SEGMENT NAME: E1EDP05| LEVEL: 2| STATUS: OPTIONAL| LOOPMAX: 99| TYPE OF SEG: S| SeqSegment: 210
SEGMENT NAME: E1EDP04| LEVEL: 2| STATUS: OPTIONAL| LOOPMAX: 25| TYPE OF SEG: S| SeqSegment: 220
SEGMENT NAME: E1EDP28| LEVEL: 2| STATUS: OPTIONAL| LOOPMAX: 9| TYPE OF SEG: S| SeqSegment: 230
SEGMENT NAME: E1EDP08| LEVEL: 2| STATUS: OPTIONAL| LOOPMAX: 999999| TYPE OF SEG: S| SeqSegment: 240
SEGMENT NAME: E1EDPT1| LEVEL: 2| STATUS: MANDATORY| LOOPMAX: 1| TYPE OF SEG: L| SeqSegment: 250
SEGMENT NAME: E1EDPT1| LEVEL: 3| STATUS: MANDATORY| LOOPMAX: 1| TYPE OF SEG: S| SeqSegment: 250
SEGMENT NAME: E1EDPT2| LEVEL: 3| STATUS: OPTIONAL| LOOPMAX: 999| TYPE OF SEG: S| SeqSegment: 260
SEGMENT NAME: E1EDS01| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 30| TYPE OF SEG: S| SeqSegment: 270
SEGMENT NAME: E1IDOCENHANCEMENT| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 999999| TYPE OF SEG: S| SeqSegment: 280
SEGMENT NAME: E1IDOCENHANCEMENT| LEVEL: 1| STATUS: OPTIONAL| LOOPMAX: 999999| TYPE OF SEG: S| SeqSegment: 290
